"soil_temp_daily_mean","CH4_lin_flux.estimate"
1.785,0.00109328232823767
2.23380208333333,0.00555367836783495
3.13166666666667,0.00425321152115407
3.24541666666667,0.00548571137113299
3.37708333333333,0.00531326552655146
4.44206845238095,0.000904855685567328
5.58755208333333,0.00506908850884741
5.59978586723769,0.00354927272727741
6.4322619047619,0.00153026102610313
6.67234375,0.00183713831382791
6.74708333333333,0.000664542454242674
7.16354166666667,0.00510408940893678
7.3375,0.00228839183918123
7.36817708333333,0.00150711971197905
7.68,-0.0322910351035125
8.12036458333333,0.00561178937893432
8.58872023809524,0.00282953495349279
9.595625,-0.00285430543054333
9.61041666666667,0.00217642664265931
9.74233668341708,0.00543988058805376
9.7465625,0.0061507626762698
10.129375,0.00776864866486562
12.2973958333333,0.00314864446444493
12.6405208333333,0.00636718151815101
12.9391666666667,0.0027156213621429
14.0608333333333,0.00779375457546125
14.6190178571429,0.00353708610860668
14.7927604166667,0.00482089768976781
16.326875,0.0107228874887404
16.925,-0.000268062406240411
17.0320089285714,0.00309598139813695
17.2071130952381,0.00602005880588139
17.9030654761905,0.00660799999999946
18.1297678571429,0.00492482988298442
18.2497916666667,0.00130933933393228
18.2799702380952,0.00326543774377104
18.4363541666667,0.00287039663965787
18.5937053571429,-0.00776614581458104
18.913630952381,0.00645189798979177
18.913630952381,0.00222555415540981
19.1535193452381,0.00214961956195411
19.2760119047619,0.00507968976897384
19.3529166666667,0.00998795199519631
19.6549479166667,0.00583947794779332
19.7477108134921,0.016466371437142
20.0285267857143,0.00321488808881132
20.0285267857143,0.00178284308430423
20.0626845238095,0.00731277167716346
20.0626845238095,0.00371714671467157
20.3418973214286,0.0197039555955552
20.5845758928571,0.00543088988899304
20.9483407738095,0.00501267566755609
20.9483407738095,0.00331105130512571
20.9664732142857,0.00180318991898567
21.1087202380952,0.00704835043504504
21.1951116071429,0.00892688928892516
21.1951116071429,0.00636648424842588
21.1951116071429,0.00852358475847379
21.1951116071429,0.00942376237624121
21.2771130952381,0.00468182538254153
21.2771130952381,0.00391244404440065
22.3081086309524,-0.000136068406839532
22.4828869047619,0.012921578757868
22.9822708333333,0.0122046762676236
23.0401264880952,0.00829836423642578
23.1397619047619,0.00457723132312649
23.3585788690476,0.0041764224422399
23.459412202381,0.0102349012901287
23.8051041666667,0.00726627482748303
24.5546279761905,0.0103685478547836
